Sentence,Category (Binary),Comment (Optional)
"Digvijay Dhabriya, which employs about 600 people in his PVC and UPVC manufacturing unit, said, If the real estate industry does not do well, it will have a huge bearing on a host of other industries.",0-Pure,
"If it does well, it will not create job opportunities in the sector itself but also in the industries that depend on it.",1-Septic,
"But sadly, the market has been in limbo for a long time.",1-Septic,
The high unemployment figures may have the imprint of Covid-19 pandemic but the crisis was prevalent since a couple of years ago.,1-Septic,
"However, labour secretary Neeraj K Pawan, said that the figures indicate that the unemployment rate has not declined during the lockdown.",0-Pure,
The data shows that unemployment rate in Rajasthan has not shot up during lockdown period like it did in other states.,1-Septic,
"
Dhabriya said that after the new Congress government came to power, it got saddled with its own problems and there was much less scope to tide over the general slowdown the country was undergoing.",0-Pure,
India on Tuesday inked a loan pact of $500 million with Asian Development Bank (ADB) to fund the ambitious high speed Delhi-Ghaziabad-Meerut RRTS Corridor.,1-Septic,
It is the first tranche of a $1 billion loan approved by ADB for the 82-km railway network.,0-Pure,
"The signatories to the loan agreement were Sameer Kumar Khare, additional secretary (Fund Bank and ADB) at the Department of Economic Affairs in the Ministry of Finance and Kenichi Yokoyama, country director of ADBs India Resident Mission.",0-Pure,
The RRTS which will reduce travel time between Delhi and Meerut to mere 50-minute is set to be operational by 2025.,0-Pure,
The corridor has 24 stations including two depots at Duhai and Modipuram.,0-Pure,
"The corridor will originate from Sarai Kale Khan in Delhi, and Modipuram in Meerut will be the last stop.",0-Pure,
"In the first phase, the Meerut-Ghaziabad-Delhi corridor will be completed with a cost of Rs 30,274 crore by 2025.",0-Pure,
"NCRTC, the implementing agency of RRTS, is a joint venture of the Centre (50%) and state governments of Haryana (12.5%), NCT Delhi (12.5%), Uttar Pradesh (12.5%) and Rajasthan (12.5%).",0-Pure,
"Spokesperson of NCRTC, Sudhir Sharma, said, The proceeds of this tranche of US $500 million (Rs 3,750 crore) loan will be used for financing civil works, tracks, station buildings, multi-modal hubs, maintenance depots, and traction and power supply of the Delhi-Ghaziabad-Meerut RRTS Corridor.The RRTS is first of the three prioritized corridors planned for implementation in the country.",0-Pure,
The other two are Delhi-Gurugram-Alwar and Delhi-Panipat.,0-Pure,
" After receiving a report from Lucknow that Bhokaredi village, that gets electricity from Bhopa feeder line, accounts for 94% line loss in the district, a massive checking operation was conducted there on Tuesday by power department officials.",1-Septic,
It was found that 83 households were pilfering power.,1-Septic,
Cases of power theft were registered against all the erring households.,0-Pure,
"According to sources, a power department team accompanied by heavy police force went checking house-to-house at Bhokaredi village.",1-Septic,
Officials found 65 households were stealing electricity directly from the power line while 18 households were found using power after their connection was disconnected for for not paying electricity bills.,0-Pure,
As many as 83 households were booked for stealing electricity from the main power line.,0-Pure,
Further action is being taken.,0-Pure,
"""The power department is also facing 40% line loss in city areas like Rampuram, Khalapar, Shamli stand, Numaish camp and Minakshi Chowk, said IP Singh, city SDO.",0-Pure,
"South Western Railway (SWR) is resuming the services of seven pairs of trains, all of which are fully reserved.",1-Septic,
Stoppages shall be restricted in view of suggestions by the state government.,1-Septic,
"Yatender Kumar, sub-divisional officer (SDO) of Bhopa power station, said, ""Bhokaredi village is listed as most line loss area"".",0-Pure,
"Train No.06539 KSR Bengaluru“Mysuru Special Express"" will depart KSR Bengaluru at 10:30 hrs and arrive at Mysuru at 13:30 hrs daily (except Sunday) from September 12 till further advise.",1-Septic,
"In the return direction, train No.06540 Mysuru“KSR Bengaluru Special Express will depart Mysuru at 14:30 hrs and arrive at KSR Bengaluru at 17:10 hrs daily (except Sunday) from September 12 till further advice.",1-Septic,
"Train No.06587 Yeshwantpur“Bikaner Bi-Weekly Special Express"" will depart Yeshwantpur at 05:00 hrs on every Sunday and Friday from September 13 till further advise, and it arrives at Bikaner at 06:50 hrs on Tuesday and Sunday.",0-Pure,
"In the return direction, train No.06588 Bikaner“Yeshwantpur Bi-Weekly Special Express"" will depart Bikaner at 22:15 hrs on every Tuesday and Sunday from September 15 till further advise, and arrive at Yeshwantpur at 03:15 hrs on Friday and Wednesday.",0-Pure,
Train No.06535 Mysuru“Solapur Daily Special Express will depart Mysuru at 15:45 hrs daily from September 12 till further advise and arrive at Solapur at 12:40 hrs on the next day.,0-Pure,
"In the return direction, train No.06536 Solapur“Mysuru Daily Special Express"" will depart Solapur at 14:10 hrs daily from September 13 till further advise and arrive at Mysuru at 11:00 hrs the next day.",1-Septic,
"Train No.06527 KSR Bengaluru“New Delhi Daily Special Express"" will depart KSR Bengaluru at 19:00 hrs daily from September 12 till further advise and arrive at New Delhi at 10:30 hrs two days later.",1-Septic,
"In the return direction, train No.06528 New Delhi“KSR Bengaluru Daily Special Express"" will depart New Delhi at 21:15 hrs daily from September 14 till further advise and arrive at KSR Bengaluru at 14:00 hrs two days later.",1-Septic,
"Train No.02591 Gorakhpur“Yeshwantpur Bi“Weekly Superfast Special Express"" will depart Gorakhpur at 06:35 hrs on every Saturday and Monday from September 12 till further advise and arrive at Yeshwantpur at 04:45 hrs Monday and Wednesday.",1-Septic,
"In the return direction, train No.02592 Yeshwantpur“Gorakhpur Bi“Weekly Superfast Special Express"" will depart Yeshwantpur at 17:20 hrs on every Monday and Thursday from September 14 till further advise and arrive at Gorakhpur at 15:05 hrs.",1-Septic,
"
Train No.02975 Mysuru“Jaipur Bi“Weekly Superfast Special Express will depart Mysuru at 10:40 hrs on every Thursday and Saturday from September 17 till further advise and arrive at Jaipur at 06:15 hrs on Saturday and Wednesday.",1-Septic,
"In the return direction, train No.02976 Jaipur“Mysuru Bi“Weekly Superfast Special Express"" will depart Jaipur at 19:35 hrs on Monday and Wednesday from September 14 till further advise and arrive at Mysuru at 15:30 hrs on Wednesday and Friday.",1-Septic,
"
Train No.02509 Bengaluru Cantonment“Guwahati Tri“Weekly Special Express"" will depart Bengaluru Cantonment at 23:40 hrs on Wednesday, Thursday and Friday from September 16 till further advise and arrive at Guwahati at 06:00 hrs on Saturday, Sunday and Monday.",1-Septic,
"
In the return direction, train No.02510 Guwahati“Bengaluru Cantonment"" Triâ“Weekly Special Express"" will depart Guwahati at 06:20 hrs on Sunday, Monday and Tuesday from September 13 till further advise and arrive at Bengaluru Cantonment at 11:40 hrs on Tuesday, Wednesday and Thursday.",1-Septic,
There are about 77 lakh students studying in government schools in the state.,0-Pure,
The Indian men's hockey team forward Akashdeep Singh believes that world-class facilities and stadiums make a big difference to a side's performance.,1-Septic,
The Indian men's hockey team has achieved tremendous success since June 2019.,1-Septic,
"They also competed well against top sides such as Belgium, Netherlands and Australia in the FIH Pro League earlier this year.",0-Pure,
"""We have certainly worked hard to record good wins in the recent past, however, we wouldn't have been able to raise our game without the world-class facilities and stadiums provided to us by Hockey India and Sports Authority of India.Practicing on a good turf with all the necessary facilities has helped us hone our techniques and become much better players and as a result, we have performed well consistently in the last few years,"" Akashdeeep Singh said in an official Hockey India release.",0-Pure,
"
Akashdeep added that spotting and nurturing of talent across the country has certainly been a big boost for the national side.",1-Septic,
"
""We have had some young talents such as Rajkumar Pal and Vivek Sagar Prasad join our team in the last few years.Our team has a great balance of experienced players and new talents, which is the perfect blend for being successful in competitions.I would certainly like to give a lot of credit to Hockey India for the way they have spotted talent through domestic competitions and nurtured them further so that they are in a position to perform for their country,"" said the 25-year-old.",0-Pure,
"
The forward also said that the Indian team is determined to become Olympic medallists in Tokyo next year.",1-Septic,
"In December 2018, when Belgium broke Dutch hearts to win the men's hockey World Cup, a 'blueprint to success' reached its final destination.",1-Septic,
"
But from thereon, the Red Lions' task became tougher, for they had to not just enjoy the view from the top but also keep proving that they belong there.",1-Septic,
"
The next goal on that road for the Belgians is to turn their 2016 Olympic silver to gold in Tokyo next year.",0-Pure,
"
After enjoying a year as the new world champions, the Belgians, along with the rest of the hockey world, had to go through a difficult period.",1-Septic,
"
Hockey had its line-up of the 12 teams for the Tokyo Games, the fixtures were rolled out as well, but the all-important practice provided by Pro League before the big stage had to be stopped indefinitely, as the pandemic wreaked havoc.",1-Septic,
"
Finally in September, as the world reached a stage where it had learned, to an extent, how to live with the coronavirus, international hockey returned, when Germany hosted Belgium in Dusseldorf for a two-match Pro League tie.",0-Pure,
"The FIH, after much deliberation and outlining the SOP to be followed, decided to bring hockey back on the pitch, with Germany and Belgium becoming the first two teams to experience playing in the Covid-19 era.",1-Septic,
"
To know how it felt and what changed, Timesofindia.com got in touch with the coach of the Red Lions, Shane McLeod, for an exclusive interview.",0-Pure,
"
(Action from the second match between Germany and Belgium in Dusseldorf - FIH Facebook Photo )Excerpts... Is it an advantage or a disadvantage to be the first team to play with Covid-19 restrictions in place?I believe that there are some positives with being (among) the first teams to play.
",1-Septic,
"
Firstly, we get to start to develop our game earlier than other nations that are still either in training mode or not able to be together.",1-Septic,
"
We also create the expectation of a new normal for the group.
",0-Pure,
"
Athletes need to have targets to look forward to and there is no better way to do this than playing other nations.
",0-Pure,
"
How many days before the matches against Germany did you get together as a group?
",0-Pure,
"
Did you have a camp?We are lucky to be able to operate in a semi-centralised programme, meaning that players are able to live at home but can come into the training environment each week for training.
",1-Septic,
"
This means that the need to bring the group together before playing a match does not need to be for a long period.
",0-Pure,
"
We travelled the morning before we played, as it is only a two-hour distance from where we train.
",0-Pure,
"
How much does being in a camp help as opposed to getting together just a few days before a tour/tournament?
",1-Septic,
"
What do you prefer as a coach?",0-Pure,
"
In normal circumstances, we would travel a week to ten days before a tournament so that we get used to the time zone, conditions and climate; but for the Pro League, this is not practical.
",0-Pure,
"
When we do travel and are in camp, it is a great way to bring the group to another level, playing-wise, and also as a team.
",0-Pure,
"
#FIHProLeague #HockeyInvites #GERvBEL @BELRedLions' Loïck Luypaert reflects on the important learnings from the International Hockey Federation (@FIH_Hockey) Talking about the lockdown period in one of your earlier comments, you said, the ""players' technical levels are very high...and some even made gains"".
",0-Pure,
"
Can you please elaborate on that?Due to the fact that we had to train over distances, we needed to be creative in how we set out our training.
",1-Septic,
"
It meant going back to basics and working on areas of players' development that often get overlooked.
",1-Septic,
"
For example, training to receive overheads was an easy topic to develop.
",0-Pure,
"
Players would do hundreds of repeatable exercises rather than 10 or 20.
",0-Pure,
"
This means that players' skill levels improved.",0-Pure,
"
How much does not playing together for a long time matter, especially when you have largely played with more or less the same group over a period of time, which helped you win the World Cup as well?We have actually enlarged our group for a short period of time.
",1-Septic,
"
We are starting to shape a group ready to prepare for the next Olympic cycle.
",0-Pure,
"
We had two new players playing (for) their first caps for the Red Lions against Germany.
",0-Pure,
"
For most nations, it takes some time to piece together the team's playing style and after seven months we also have to start to build each of the areas of our game.
",1-Septic,
"
What makes this an interesting exercise is that players are back with their clubs, meaning that they are having to learn several playing styles all at the same time.
",1-Septic,
"
Talking about the Covid-19 protocols related to match-days, what struck you the most when you stepped on the pitch?For me, a big part of the experience is the crowd.
",0-Pure,
"
Whether you are playing against India in India and having to deal with the crowd's ability to lift the team, or playing at home in Belgium knowing that all of the supporters have come to enjoy the event, it is the crowd that provides that extra feeling.
",1-Septic,
"
Without a crowd, it is very hard to not get the feeling of it being a training match.
",0-Pure,
"
It just shows that we are social creatures.",0-Pure,
"
EXCLUSIVE!We had two @BELRedLions stars discuss their yesterday's win over Germany.Down International Hockey Federation (@FIH_Hockey) What has been the players' feedback about how they feel playing after a five-month break?The players have loved getting back on the field together -- the whole experience of being away as a group and enjoying all of the things around playing international hockey again.
",1-Septic,
"
You won the first game against Germany comprehensively but then were held to a 1-1 draw in the second.
",0-Pure,
"
What changed?I think that playing two games back to back is an interesting experience.
",0-Pure,
"
There are several things that impact on the scoreline.
",1-Septic,
"
Firstly, when you win a game 6-1, you often struggle to look at the game in the same detail as you do if you are the team that loses.
",0-Pure,
"
Germany did many things better in the second match, which made it harder for us to create opportunities.
",1-Septic,
"
I would also suggest that the first game was closer than the scoreline indicated.
",1-Septic,
"
We were the better team, but I think that 6-1 was not a fair indication of how the game was.
",1-Septic,
"
You are now on the road to the Olympics.
",0-Pure,
"
How do you plan to do even better in Tokyo than you did in Rio in 2016?We still have many stages to pass through to have our Olympic readiness.
",0-Pure,
"
In each game, we will focus on improvements and by the time the Olympics begin, you will see a very strong Belgium side ready to take on some of the world's best teams.
",0-Pure,
"
We cannot wait.
",0-Pure,
"
The ongoing camps of the Indian men and women hockey probables at the Sports Authority of India campus in Bengaluru have been extended after a proposed tour of Netherlands had to be put off due to travel restrictions in wake of the COVID-19 pandemic.
",1-Septic,
"
The Indian men's team was scheduled to tour the Netherlands for practice matches but the proposal was shelved on the recommendation of coaches and SAI officials because of the health crisis.
",1-Septic,
"
Instead, the SAI has now given the go ahead to extend the camps, which were scheduled to end on September 30.
",0-Pure,
"
The camp for the men's team has now been extended for a month till November 28, while the women's camp will continue till December 12.
",0-Pure,
"
""The hockey camps for both the teams have been extended.The men's team camp has been extended till September 28 while the women's camp will be till December 12,"" a SAI official told PTI.
",0-Pure,
"
""The men's team wanted to tour the Netherlands for a few practice matches but the idea was put off on the recommendation of health experts and chief coaches because of the risk associated with travelling.So, the SAI in consultation with Hockey India has decided to extend the camps.""The ongoing national camps resumed on August 19 after a month's break.
",0-Pure,
"
But despite taking necessary precautions and following COVID-19 related health protocols, six male players, including skipper Manpreet Singh, had tested positive for the virus upon their return in Bengaluru.
",1-Septic,
"
The Indian men's side's last international outing was in the FIH Pro League in January-February against Netherlands, Belgium and Australia, while the women have not played a match since the tour of New Zealand in January.
",1-Septic,
"
The six hockey players who contracted COVID-19 last month have integrated with the rest of their teammates and are close to reaching peak fitness, men's national team head coach Graham Reid said on Saturday.
",0-Pure,
"
Captain Manpreet Singh, Surender Kumar, Jaskaran Singh, Varun Kumar, Krishan Bahadur Pathak and Mandeep Singh were discharged from a Bangalore hospital on August 17 and were kept on quarantine for some more days before joining the team.
",0-Pure,
"
Surender Kumar makes gradual return to hockey after Covid-19 scare They have integrated with the team and so they are doing what the others are doing.
",1-Septic,
"
They started 2-3 weeks after others had started.",0-Pure,
"
They began at a slow level but they are now close the level of other players (in fitness),"" Reid said during a webinar organised by Hockey India.Never felt so stressed, says hockey striker Mandeep Singh on Covid-19 recovery period"",It is a serious disease and you may think you are fine, but in reality, it may be otherwise.So, I was pleased that the tests were done.It was detected and they were given treatment.""",1-Septic,
"
Don't stigmatise those infected with Covid-19: Manpreet SinghAsked specifically about the current condition of the six players, he said, ""We are doing testing (of the players) this week along with rest of the team.We are reasonably happy about their fitness but it's still a long way to reach to full fitness level.""
",1-Septic,
"
The Australian said he is hoping all the players would have full training in the next 4-5 weeks.
",0-Pure,
"
""We are having our basic things, internal matches and will get to full training hopefully in 4-5 weeks.But international matches seem to be distant.""
",0-Pure,
"
The national camp for both men and women's teams resumed on August 19 at the Sports Authority of India Centre in Bengaluru.
",0-Pure,
"
Women's team coach Sjoerd Marijne warned the players against going full throttle and risk getting injured.
",1-Septic,
"
""You have to be patient, you cannot achieve full fitness quickly.It takes long time.You need to come out of this without injury,"" he said.
",0-Pure,
"
""A lot of hamstring injuries are happening in football leagues like Bundesliga, EPL.If you start too fast you are risking injuries and you may be out for, say, six months.So, don't underestimate these lost months.""
",0-Pure,
"
He said the players will need 4-5 weeks after achieving peak form to be able to play competitive matches.
",1-Septic,
"
Men's and women's team goalkeepers P Sreejesh and Savita said the players began from the basics and are yet to train at full intensity.
",1-Septic,
"
""The first two weeks of basic training helped us.We are are in good shape now,"" Sreejesh said.
",0-Pure,
"
""It was initially very difficult to adjust to the situation but when we came back after the break, everybody started adjusting and getting used to it.Every player knows it.We know what will keep us fit with the ultimate aim being the Olympics.""
",0-Pure,
"
Reid also said that he will speak to the coaches and players of Germany and Belgium teams about the Standard Operating Procedures regarding the start of FIH Pro League matches.
",1-Septic,
"
Indian hockey team forward Lalit Upadhyay was all-praise for the Belgian attack that imposed a massive 6-1 win against Germany in the FIH Hockey Pro League match on Tuesday.
",0-Pure,
"
The League resumed after a six-month hiatus due to the Covid-19 pandemic.
",0-Pure,
"
The Indian team, that had beaten Belgium 2-1 in their first match and lost 3-2 in their second match when they took on the World Champions earlier this year, keenly followed the proceedings of the match.
",1-Septic,
"
""All of us had been looking forward for the FIH Hockey Pro League matches to start.Although we were hoping for a close game, it turned out to be quite one-sided.The German side struggled against their opponent's attack and Belgium's success inside the circle was very impressive,"" Upadhyay, who is part of the on-going National Coaching Camp in SAI, Bengaluru, said in a Hockey India release.
",0-Pure,
"
He further said that there was a lot to pick-up from the match between the two European powerhouses.
",1-Septic,
"
""All six goals for Belgium came from six different goal-scorers.There is a lot to pick up from and analyse from this match.The loopholes in Germany's defence are also something we can learn from as to what not to do against a team like Belgium,"" stated Upadhyay.
",0-Pure,
"
The experienced forward pointed out that the Indian team is currently working towards achieving their earlier form and fitness, which has been the top priority in the on-going camp.
",1-Septic,
"
""We were able to resume activities because of the early measures taken by Hockey India who ensured a Hockey SOP was in place as early as April.
We were all briefed on guidelines to follow once the National Camp would begin so in that sense, resuming activities was smooth.Something that Germany seemed to struggle yesterday was with their speed and fitness so when we get back to competitive hockey that should not be the case with us,"" he said.
",0-Pure,
"
While the Indian side has been training in a bio-secure environment at the SAI Centre Bangalore with zero contact from the outside world, Upadhyay is hopeful India can return to competitive hockey soon.
",1-Septic,
"
""We know Hockey India and the coaching staff have put together a plan for us to resume competitive hockey.We are hopeful that we can hit good form before that.Our intensity in National Camp will increase October onwards and we are moving in the right direction and are prepared for any scenarios,"" Upadhyay said.

",0-Pure,
"
Being a professional athlete, Indian men's hockey team striker Mandeep Singh has been through many tough situations during his career, but by his own admission, the time spent while recovering from Covid-19 has been the most ""stressful"" one.
",1-Septic,
"
Mandeep is one of the six hockey players of India's senior men's team, including skipper Manpreet Singh, who had tested positive for Covid-19 at the team's training base here last month after they arrived for the national camp.
",0-Pure,
"
In fact, Mandeep was the first player to be admitted in the hospital here.
",0-Pure,
"
Since then, all the six players have recovered and started their individual training sessions.",0-Pure,
"
I think we had read and heard so much about the pandemic being a deadly disease, the first few days were stressful and anxious after testing positive for the virus.
",1-Septic,
"
""Although I have been in some of the most difficult match-situations as a professional hockey player, I had never felt this stressed,"" Mandeep said in a Hockey India release.
",0-Pure,
"
""I was never (before) taken away in an ambulance, never been seriously injured either.So this phase was a new experience for me.After recovering, they (Hockey India) even gave us an option to return home to take a break if we felt like it, but we wanted to stay back and rejoin the rest of the group,"" said the forward, who scored maximum goals for India in 2019 season.

",0-Pure,
"
The 25-year-old hailed the team management for their help and support during their recovery phase from the deadly virus.
",1-Septic,
"
""We have a very good trainer in Robin Arkel and he knows exactly how much to push us.We are taking only 50-60 per cent of the regular workload at the moment and have just one session per day,"" Mandeep said.
",0-Pure,
"
""Chief coach Graham Reid is also constantly monitoring how we feel during a session.It feels good to be back with the rest of the group and I feel relieved to be fine and recovered fully.""With the FIH Pro League restarting from Tuesday, Mandeep said it feels great to witness the resumption of sporting activities around the world.
",1-Septic,
"
Equal opportunities like the men's hockey team and a robust junior program have been major contributing factors in the improved performance of the women's national side, feels skipper Rani.
",1-Septic,
"
""I believe our improved performance has a lot to do with the professional system laid out by the Federation.We have a good junior program too which identifies talented players,"" Rani said.
",0-Pure,
"
The skipper said the transition of young players into the senior side has been a smooth one, adding that competing in more international tournaments provides the right exposure to the team.
",1-Septic,
"
""Young talent like Lalremsiami and Salima Tete who won the silver medal at the Youth Olympic Games 2018 in Buenos Aires have made a very smooth transition into the senior program.""
",0-Pure,
"
""Ensuring we (women's team) also play equal or more number of international tournaments as the men's team gives us right exposure that adds to the confidence of these youngsters,"" she added.
",0-Pure,
"
""Our team has done well against top sides in the recent past and therefore we are confident that we can win a medal for India at the Olympics.We just have to focus on our processes and then the desired results will follow.All our bases are covered and we are determined to make history in Tokyo.It's about going on the pitch with belief and we will be able to achieve anything,"" said Akashdeep.",0-Pure,
